T1,T2,H1,H2,D1,D2,D3,D4
Livia PLD,Prims DRK,Celaena WHM,Blyze AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Blyze SCH,Celaena AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Blyze PLD,Prims DRK,Livia AST,Celaena SGE,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Blyze WHM,Celaena AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Livia PLD,Prims DRK,Blyze SCH,Celaena SGE,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Celaena PLD,Prims DRK,Blyze SCH,Livia AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Livia PLD,Prims DRK,Blyze WHM,Celaena SGE,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze AST,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Livia PLD,Prims DRK,Celaena WHM,Blyze SCH,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Leone MNK,Kat BRD,Arg SMN,Sonja RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone NIN,Blyze SAM,Kat DNC,Sonja RDM
Prims PLD,Arg DRK,Livia AST,Celaena SGE,Leone NIN,Blyze SAM,Kat DNC,Sonja RDM
Prims PLD,Sonja GNB,Blyze SCH,Livia AST,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Prims PLD,Sonja GNB,Blyze SCH,Livia AST,Lloyd DRG,Kat BRD,Arg SMN,Leone RDM
Prims PLD,Sonja GNB,Blyze SCH,Livia AST,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Prims PLD,Sonja GNB,Blyze SCH,Livia AST,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Prims PLD,Sonja GNB,Blyze SCH,Livia AST,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Prims PLD,Sonja GNB,Blyze SCH,Livia AST,Lloyd DRG,Kat DNC,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Leone DRG,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Arg DRG,Kat BRD,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Kat BRD,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Leone DRG,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze NIN,Kat BRD,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze SAM,Kat BRD,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat BRD,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Blyze NIN,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze DRG,Kat BRD,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze NIN,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone DRG,Blyze NIN,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze NIN,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Blyze SAM,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze DRG,Leone NIN,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Arg DRG,Kat DNC,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Leone NIN,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Leone NIN,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone NIN,Blyze SAM,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze SAM,Kat DNC,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone DRG,Blyze SAM,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze SAM,Kat DNC,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Arg DRG,Blyze SAM,Kat BRD,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone DRG,Blyze NIN,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone DRG,Blyze SAM,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Arg DRG,Blyze NIN,Kat BRD,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze SAM,Kat BRD,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Blyze DRG,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Lloyd DRG,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone NIN,Blyze SAM,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze DRG,Kat DNC,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze NIN,Kat DNC,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Lloyd DRG,Kat DNC,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Kat DNC,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Arg DRG,Blyze SAM,Kat DNC,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze DRG,Leone NIN,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Lloyd DRG,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze MNK,Kat BRD,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Arg DRG,Blyze NIN,Kat DNC,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Blyze NIN,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Kat DNC,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze SAM,Kat DNC,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Lloyd DRG,Blyze SAM,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze NIN,Kat DNC,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Blyze NIN,Kat BRD,Arg SMN,Leone RDM
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Blyze DRG,Kat BRD,Arg SMN
Prims DRK,Sonja GNB,Livia AST,Celaena SGE,Leone MNK,Blyze SAM,Kat BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Kat AST,Blyze MNK,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Kat WHM,Celaena SGE,Blyze MNK,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Kat AST,Celaena SGE,Blyze MNK,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Kat WHM,Celaena AST,Blyze MNK,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Kat AST,Blyze DRG,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Kat WHM,Celaena SGE,Blyze DRG,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Kat AST,Celaena SGE,Blyze DRG,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Kat WHM,Celaena AST,Blyze DRG,Livia NIN,Sonja BRD,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Blyze NIN,Sonja DNC,Kat RDM
Prims PLD,Arg DRK,Livia AST,Celaena SGE,Leone MNK,Blyze NIN,Sonja DNC,Kat RDM
Prims PLD,Arg DRK,Blyze SCH,Celaena SGE,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze AST,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena AST,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Blyze WHM,Celaena SGE,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Livia DRG,Sonja SAM,Kat BRD,Leone RDM
