T1,T2,H1,H2,M1,M2,R1,R2
Arg DRK,Leone GNB,Blyze WHM,Celaena AST,Lloyd DRG,Livia NIN,Kat BRD,Sonja RDM
Prims PLD,Livia DRK,Celaena WHM,Kat AST,Blyze DRG,Leone NIN,Sonja MCH,Arg SMN
Prims PLD,Sonja WAR,Blyze WHM,Kat AST,Lloyd DRG,Leone NIN,Livia DNC,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Blyze SCH,Livia DRG,Leone NIN,Sonja BRD,Kat DNC
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Leone MNK,Livia DRG,Kat BRD,Sonja MCH
Arg DRK,Leone GNB,Celaena WHM,Livia AST,Blyze NIN,Prims SAM,Sonja BRD,Kat DNC
Prims PLD,Livia DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Sonja DNC,Kat RDM
Prims DRK,Sonja GNB,Kat WHM,Blyze AST,Lloyd DRG,Leone NIN,Livia DNC,Arg SMN
Prims PLD,Livia DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat BRD,Arg SMN
Prims PLD,Sonja DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Leone NIN,Arg SMN,Kat RDM
Celaena PLD,Leone GNB,Blyze SCH,Livia AST,Sonja DRG,Prims SAM,Kat BRD,Arg SMN
Livia PLD,Arg DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Kat DNC,Sonja RDM
Prims DRK,Leone GNB,Kat WHM,Celaena AST,Livia DRG,Blyze NIN,Sonja MCH,Arg SMN
Livia PLD,Arg DRK,Blyze WHM,Celaena AST,Leone MNK,Prims SAM,Sonja MCH,Kat DNC
Sonja WAR,Prims DRK,Celaena WHM,Kat AST,Leone MNK,Blyze NIN,Livia DNC,Arg SMN
Prims PLD,Leone GNB,Celaena WHM,Blyze AST,Lloyd DRG,Sonja NIN,Kat DNC,Arg SMN
Prims PLD,Livia DRK,Celaena WHM,Kat AST,Blyze MNK,Arg DRG,Sonja SMN,Leone RDM
Livia PLD,Arg DRK,Celaena WHM,Blyze AST,Lloyd DRG,Prims SAM,Kat DNC,Sonja BLM
Prims PLD,Sonja DRK,Kat WHM,Celaena AST,Arg DRG,Blyze SAM,Livia DNC,Leone RDM
Prims PLD,Livia DRK,Celaena WHM,Blyze SCH,Sonja MNK,Arg DRG,Kat BRD,Leone RDM
Celaena PLD,Arg DRK,Kat WHM,Blyze SCH,Lloyd DRG,Prims SAM,Sonja DNC,Leone RDM
Prims PLD,Leone GNB,Celaena WHM,Blyze AST,Arg DRG,Livia NIN,Kat BRD,Sonja SMN
